iter	Logloss
0	0.6867002998
1	0.6810410895
2	0.676281102
3	0.6732259279
4	0.66894052
5	0.666598148
6	0.6649610365
7	0.6641472648
8	0.6632132472
9	0.6621671915
10	0.6603164472
11	0.6595229869
12	0.6584771281
13	0.6577630389
14	0.6572978504
15	0.6565126237
16	0.6550102488
17	0.6546581332
18	0.654047405
19	0.6537585919
20	0.6534941845
21	0.6531448522
22	0.6530119722
23	0.6528816549
24	0.6526485209
25	0.6526466174
26	0.6524976236
27	0.6517473984
28	0.6516203288
29	0.6514360475
30	0.6509926663
31	0.6506995834
32	0.6506597194
33	0.6504102257
34	0.6503573457
35	0.6501992038
36	0.6497871695
37	0.6497707191
38	0.6497658788
39	0.6496303083
40	0.6494575134
41	0.649364275
42	0.6493081168
43	0.6492759825
44	0.6492054197
45	0.649201575
46	0.6490049409
47	0.6489299139
48	0.6488392539
49	0.6488249876
50	0.6487649611
51	0.6486400957
52	0.6485403617
53	0.6484535476
54	0.6484256982
55	0.6482880551
56	0.6482129956
57	0.647915277
58	0.6478906147
59	0.6478056754
60	0.6478044961
61	0.647739301
62	0.6477012212
63	0.6476367189
64	0.6476042687
65	0.6475383724
66	0.6475242076
67	0.6474055726
68	0.6474006302
69	0.6473537952
70	0.6473297713
71	0.6473211604
72	0.6472355069
73	0.6471349599
74	0.6470965115
75	0.6470063357
76	0.6469520765
77	0.6468255314
78	0.6468241768
79	0.646792159
80	0.6466415481
81	0.6464150059
82	0.6463395631
83	0.6462960864
84	0.6461873072
85	0.6460411386
86	0.64599538
87	0.6458791139
88	0.645735397
89	0.6455201488
90	0.6453758767
91	0.6453769426
92	0.6453116402
93	0.6452483116
94	0.6451773624
95	0.6449612278
96	0.6448461023
97	0.6447995858
98	0.6446220812
99	0.6445757363
100	0.6444343002
101	0.6442814156
102	0.6441703306
103	0.6441219047
104	0.6440620794
105	0.6439314653
106	0.6438647448
107	0.6438144729
108	0.6436705772
109	0.6436358064
110	0.643498143
111	0.6434201066
112	0.6433423045
113	0.6432129322
114	0.6431063685
115	0.643016265
116	0.6429198043
117	0.6428453323
118	0.6427142908
119	0.6425988449
120	0.6424874954
121	0.6424557684
122	0.6423324052
123	0.6423267304
124	0.6422367947
125	0.6421679939
126	0.6419973539
127	0.6419312296
128	0.6418851046
129	0.6417255118
130	0.641642307
131	0.6415883603
132	0.6415241803
133	0.6414795736
134	0.6413904248
135	0.6413733916
136	0.6413214143
137	0.6412200799
138	0.6411368334
139	0.6410356306
140	0.6409685852
141	0.6409028087
142	0.6407880688
143	0.6406975252
144	0.6406753134
145	0.6405852739
146	0.640525059
147	0.6404612122
148	0.6402843991
149	0.6402365002
150	0.6401336219
151	0.6401019373
152	0.6399752829
153	0.6399145023
154	0.6398702839
155	0.6398128868
156	0.6397524511
157	0.6395537432
158	0.639473319
159	0.6394493333
160	0.6393633428
161	0.639302128
162	0.6392833649
163	0.639263255
164	0.6392282713
165	0.6391428364
166	0.639115601
167	0.6390802167
168	0.6389460806
169	0.6388838461
170	0.6388275023
171	0.6387639595
172	0.6386212698
173	0.6385491575
174	0.6384385569
175	0.6383838191
176	0.6383082179
177	0.6382756585
178	0.6382553268
179	0.6382058967
180	0.6381592559
181	0.6381245854
182	0.6380434698
