iter	Passed	Remaining
0	6	6827
1	14	7046
2	20	6859
3	24	6180
4	31	6275
5	39	6596
6	44	6333
7	48	6037
8	53	5913
9	58	5794
10	63	5739
11	69	5704
12	75	5737
13	81	5718
14	86	5682
15	92	5663
16	97	5651
17	102	5609
18	107	5548
19	112	5507
20	117	5475
21	122	5439
22	128	5471
23	134	5461
24	141	5510
25	145	5434
26	149	5402
27	155	5387
28	160	5372
29	165	5359
30	173	5430
31	180	5461
32	184	5404
33	189	5382
34	195	5379
35	200	5378
36	206	5364
37	210	5331
38	213	5272
39	218	5246
40	224	5259
41	239	5464
42	245	5472
43	251	5454
44	256	5437
45	260	5396
46	265	5390
47	271	5393
48	277	5381
49	282	5358
50	287	5348
51	292	5337
52	297	5317
53	302	5304
54	306	5267
55	312	5259
56	318	5261
57	324	5272
58	330	5269
59	336	5267
60	340	5239
61	346	5236
62	352	5237
63	362	5294
64	366	5271
65	372	5268
66	377	5252
67	382	5237
68	386	5213
69	391	5195
70	394	5163
71	399	5146
72	404	5139
73	410	5132
74	416	5132
75	421	5128
76	427	5125
77	432	5117
78	436	5090
79	442	5091
80	448	5084
81	452	5068
82	458	5061
83	463	5056
84	468	5045
85	473	5032
86	478	5021
87	483	5007
88	487	4994
89	492	4982
90	497	4970
91	500	4936
92	504	4922
93	509	4911
94	514	4899
95	519	4889
96	525	4889
97	529	4875
98	534	4861
99	539	4853
100	545	4852
101	550	4844
102	555	4839
103	560	4831
104	565	4823
105	571	4816
106	575	4804
107	580	4791
108	586	4794
109	592	4791
110	597	4782
111	602	4778
112	608	4773
113	613	4769
114	619	4764
115	624	4761
116	630	4756
117	636	4755
118	642	4758
119	647	4747
120	653	4746
121	658	4736
122	662	4725
123	668	4719
124	673	4715
125	679	4710
126	685	4712
127	691	4707
128	696	4701
129	702	4699
130	707	4695
131	716	4708
132	721	4704
133	726	4697
134	732	4694
135	738	4688
136	743	4681
137	749	4682
138	755	4677
139	760	4672
140	766	4667
141	771	4661
142	776	4654
143	781	4645
144	786	4638
145	793	4639
146	799	4636
147	804	4628
148	812	4641
149	817	4633
150	822	4625
151	827	4615
152	833	4613
153	838	4606
154	844	4604
155	849	4598
156	855	4592
157	860	4587
158	865	4578
159	870	4568
160	875	4563
161	880	4556
162	885	4549
163	891	4542
164	896	4534
165	903	4541
166	909	4538
167	914	4529
168	919	4523
169	925	4519
170	930	4512
171	936	4506
172	941	4499
173	946	4492
174	951	4484
175	956	4479
176	961	4470
177	966	4461
178	971	4455
179	976	4447
180	981	4439
181	986	4432
182	990	4424
183	995	4414
184	1000	4409
185	1006	4404
186	1012	4401
187	1018	4398
188	1024	4394
189	1028	4384
190	1033	4378
191	1038	4372
192	1043	4365
193	1049	4358
194	1054	4353
195	1060	4348
196	1066	4345
197	1072	4344
198	1079	4344
199	1085	4341
200	1090	4335
201	1096	4331
202	1101	4326
203	1106	4318
204	1113	4317
205	1119	4313
206	1124	4307
207	1130	4305
208	1136	4301
209	1140	4291
210	1145	4283
211	1149	4273
212	1153	4262
213	1158	4253
214	1162	4245
215	1167	4236
216	1171	4226
217	1175	4218
218	1180	4209
219	1184	4200
220	1188	4188
221	1192	4180
222	1197	4171
223	1201	4162
224	1205	4153
225	1211	4148
226	1215	4140
227	1219	4130
228	1224	4123
229	1229	4114
230	1233	4104
231	1237	4095
232	1242	4089
233	1246	4080
234	1250	4070
235	1254	4062
236	1259	4055
237	1263	4046
238	1268	4038
239	1273	4031
240	1277	4023
241	1281	4014
242	1286	4006
243	1290	3999
244	1295	3991
245	1299	3983
246	1304	3976
247	1308	3968
248	1313	3960
249	1318	3954
250	1322	3947
251	1326	3938
252	1331	3930
253	1335	3923
254	1340	3917
255	1345	3909
256	1349	3902
257	1354	3895
258	1358	3887
259	1363	3879
260	1367	3872
261	1372	3864
262	1376	3858
263	1381	3850
264	1385	3843
265	1389	3835
266	1394	3829
267	1400	3824
268	1405	3818
269	1409	3810
270	1413	3802
271	1418	3795
272	1422	3787
273	1426	3780
274	1431	3772
275	1435	3766
276	1439	3758
277	1444	3750
278	1449	3745
279	1453	3737
280	1457	3729
281	1462	3722
282	1467	3717
283	1471	3710
284	1475	3702
285	1480	3696
286	1485	3689
287	1489	3682
288	1493	3674
289	1498	3669
290	1502	3661
291	1507	3655
292	1512	3649
293	1517	3643
294	1521	3635
295	1525	3627
296	1531	3624
297	1535	3617
298	1539	3610
299	1544	3603
300	1549	3597
301	1553	3590
302	1557	3583
303	1562	3577
304	1566	3569
305	1570	3561
306	1575	3556
307	1579	3548
308	1583	3541
309	1588	3535
310	1594	3531
311	1598	3524
312	1602	3516
313	1606	3510
314	1611	3504
315	1615	3497
316	1619	3490
317	1623	3482
318	1628	3475
319	1632	3468
320	1636	3461
321	1641	3455
322	1645	3448
323	1649	3441
324	1654	3435
325	1658	3429
326	1663	3422
327	1667	3415
328	1671	3409
329	1676	3403
330	1680	3396
331	1684	3389
332	1689	3384
333	1693	3377
334	1697	3370
335	1702	3365
336	1707	3359
337	1712	3353
338	1716	3347
339	1721	3342
340	1726	3336
341	1730	3329
342	1735	3323
343	1740	3318
344	1744	3311
345	1748	3305
346	1753	3299
347	1758	3293
348	1762	3287
349	1766	3281
350	1771	3275
351	1775	3268
352	1779	3262
353	1785	3257
354	1789	3250
355	1793	3244
356	1798	3238
357	1803	3233
358	1807	3227
359	1811	3220
360	1816	3214
361	1820	3207
362	1824	3201
363	1828	3195
364	1833	3189
365	1838	3184
366	1842	3178
367	1847	3172
368	1851	3166
369	1855	3160
370	1859	3153
371	1864	3147
372	1868	3141
373	1872	3134
374	1877	3128
375	1881	3122
376	1885	3115
377	1889	3109
378	1894	3103
379	1898	3098
380	1903	3092
381	1907	3086
382	1912	3081
383	1917	3075
384	1921	3069
385	1926	3063
386	1940	3074
387	1953	3081
388	1966	3088
389	1981	3099
390	1996	3109
391	2010	3118
392	2022	3124
393	2034	3129
394	2046	3135
395	2058	3140
396	2070	3144
397	2078	3143
398	2092	3151
399	2104	3157
400	2118	3163
401	2130	3168
402	2143	3174
403	2156	3180
404	2166	3183
405	2178	3187
406	2192	3194
407	2208	3204
408	2222	3212
409	2237	3219
410	2250	3224
411	2262	3228
412	2273	3231
413	2286	3235
414	2299	3241
415	2313	3248
416	2327	3254
417	2339	3257
418	2353	3263
419	2366	3267
420	2380	3273
421	2429	3327
422	2452	3344
423	2463	3346
424	2474	3347
425	2481	3343
426	2486	3337
427	2494	3333
428	2500	3328
429	2506	3322
430	2511	3315
431	2515	3307
432	2521	3301
433	2525	3293
434	2529	3285
435	2534	3278
436	2539	3271
437	2543	3264
438	2548	3256
439	2553	3249
440	2558	3242
441	2562	3234
442	2567	3227
443	2571	3220
444	2576	3213
445	2580	3205
446	2586	3199
447	2590	3192
448	2595	3184
449	2600	3178
450	2605	3171
451	2610	3164
452	2614	3157
453	2619	3150
454	2624	3143
455	2629	3136
456	2634	3129
457	2638	3122
458	2642	3115
459	2648	3108
460	2653	3102
461	2657	3094
462	2662	3088
463	2667	3081
464	2672	3074
465	2676	3067
466	2682	3061
467	2687	3055
468	2692	3047
469	2697	3042
470	2702	3035
471	2707	3028
472	2713	3023
473	2718	3017
474	2723	3010
475	2728	3003
476	2733	2997
477	2738	2990
478	2741	2982
479	2747	2976
480	2751	2969
481	2756	2962
482	2761	2955
483	2765	2948
484	2770	2941
485	2775	2935
486	2780	2928
487	2784	2921
488	2788	2914
489	2794	2908
490	2798	2901
491	2803	2894
492	2809	2889
493	2814	2883
494	2819	2876
495	2824	2870
496	2830	2864
497	2833	2856
498	2838	2849
499	2843	2843
500	2848	2836
501	2852	2830
502	2858	2824
503	2863	2817
504	2867	2810
505	2873	2805
506	2877	2798
507	2882	2791
508	2885	2783
509	2890	2777
510	2894	2770
511	2899	2764
512	2905	2758
513	2909	2751
514	2913	2744
515	2919	2738
516	2924	2731
517	2928	2725
518	2933	2718
519	2938	2712
520	2943	2705
521	2947	2698
522	2952	2692
523	2956	2685
524	2960	2678
525	2965	2671
526	2970	2665
527	2974	2659
528	2978	2652
529	2984	2646
530	2988	2639
531	2993	2632
532	2998	2627
533	3003	2621
534	3008	2614
535	3013	2608
536	3018	2602
537	3022	2595
538	3026	2588
539	3032	2583
540	3036	2576
541	3041	2569
542	3045	2563
543	3050	2557
544	3054	2550
545	3058	2543
546	3063	2537
547	3068	2530
548	3072	2523
549	3076	2516
550	3081	2510
551	3085	2504
552	3090	2497
553	3095	2492
554	3100	2485
555	3104	2479
556	3110	2473
557	3115	2467
558	3119	2460
559	3123	2454
560	3129	2448
561	3133	2442
562	3138	2435
563	3143	2430
564	3148	2423
565	3152	2417
566	3157	2410
567	3162	2405
568	3166	2398
569	3171	2392
570	3176	2386
571	3180	2379
572	3184	2373
573	3192	2369
574	3197	2363
575	3201	2357
576	3207	2351
